tahun,persen_asupan_kalori_bawah_1400,prov
2015,9.17,KALIMANTAN SELATAN
2015,19.56,KALIMANTAN TIMUR
2015,29.26,KALIMANTAN UTARA
2015,12.77,SULAWESI UTARA
2015,14.82,SULAWESI TENGAH
2015,13.84,SULAWESI SELATAN
2015,13.68,SULAWESI TENGGARA
2015,8.7,GORONTALO
2015,14.11,SULAWESI BARAT
2015,27.2,MALUKU
2015,32.59,MALUKU UTARA
2015,29.74,PAPUA BARAT
2015,27.91,PAPUA
2015,12.96,INDONESIA
