tahun,persen_rumah_dgn_fasilitas_cuci_tangan_sabun,prov
2017,82.49,BALI
2017,61.13,NUSA TENGGARA BARAT
2017,43.15,NUSA TENGGARA TIMUR
2017,63.67,KALIMANTAN BARAT
2017,67.77,KALIMANTAN TENGAH
2017,73.68,KALIMANTAN SELATAN
2017,69.02,KALIMANTAN TIMUR
2017,87.81,KALIMANTAN UTARA
2017,80.02,SULAWESI UTARA
2017,79.69,SULAWESI TENGAH
2017,79.28,SULAWESI SELATAN
2017,80.89,SULAWESI TENGGARA
2017,65.56,GORONTALO
2017,72.25,SULAWESI BARAT
2017,77.7,MALUKU
2017,73.68,MALUKU UTARA
2017,63.05,PAPUA BARAT
2017,32.85,PAPUA
2017,68.16,INDONESIA
2016,54.39,ACEH
2016,64.04,SUMATERA UTARA
2016,59.97,SUMATERA BARAT
2016,59.09,RIAU
2016,55.13,JAMBI
2016,58.36,SUMATERA SELATAN
2016,64.19,BENGKULU
2016,55.6,LAMPUNG
2016,69.68,KEP. BANGKA BELITUNG
2016,81.91,KEP. RIAU
2016,77.44,DKI JAKARTA
2016,71.14,JAWA BARAT
2016,72.68,JAWA TENGAH
2016,76.72,DI YOGYAKARTA
2016,64.66,JAWA TIMUR
2016,70.99,BANTEN
2016,74.5,BALI
2016,42.84,NUSA TENGGARA BARAT
2016,19.63,NUSA TENGGARA TIMUR
2016,56.07,KALIMANTAN BARAT
2016,68.8,KALIMANTAN TENGAH
2016,76.0,KALIMANTAN SELATAN
2016,69.61,KALIMANTAN TIMUR
2016,78.83,KALIMANTAN UTARA
2016,69.07,SULAWESI UTARA
2016,71.26,SULAWESI TENGAH
2016,79.77,SULAWESI SELATAN
2016,82.04,SULAWESI TENGGARA
2016,59.89,GORONTALO
2016,73.97,SULAWESI BARAT
2016,42.94,MALUKU
2016,43.69,MALUKU UTARA
2016,45.93,PAPUA BARAT
2016,23.78,PAPUA
2016,66.28,INDONESIA
