tahun,persen_penduduk_trampil_tik,prov
2017,38.756087375027,JAWA TIMUR
2017,45.488425927701,BANTEN
2017,48.326061104804,BALI
2017,30.040532541443,NUSA TENGGARA BARAT
2017,25.304886929686,NUSA TENGGARA TIMUR
2017,30.379643020472,KALIMANTAN BARAT
2017,35.426017257382,KALIMANTAN TENGAH
2017,37.368492703808,KALIMANTAN SELATAN
2017,50.559318887259,KALIMANTAN TIMUR
2017,45.680985424907,KALIMANTAN UTARA
2017,44.695218413657,SULAWESI UTARA
2017,31.699687361722,SULAWESI TENGAH
2017,38.73921116105,SULAWESI SELATAN
2017,35.13946829463,SULAWESI TENGGARA
2017,34.386606805633,GORONTALO
2017,26.239982761335,SULAWESI BARAT
2017,31.553077831918,MALUKU
2017,25.09510360155,MALUKU UTARA
2017,34.680956268509,PAPUA BARAT
2017,21.292783327462,PAPUA
2017,40.484805347788,INDONESIA
2016,23.31,ACEH
2016,25.99,SUMATERA UTARA
2016,32.53,SUMATERA BARAT
2016,32.33,RIAU
2016,27.03,JAMBI
2016,25.2,SUMATERA SELATAN
2016,26.34,BENGKULU
2016,20.87,LAMPUNG
2016,28.7,KEP. BANGKA BELITUNG
2016,50.1,KEP. RIAU
2016,58.4,DKI JAKARTA
2016,34.84,JAWA BARAT
2016,29.89,JAWA TENGAH
2016,49.23,DI YOGYAKARTA
2016,29.59,JAWA TIMUR
2016,37.01,BANTEN
2016,41.78,BALI
2016,23.71,NUSA TENGGARA BARAT
2016,18.92,NUSA TENGGARA TIMUR
2016,24.66,KALIMANTAN BARAT
2016,28.52,KALIMANTAN TENGAH
2016,32.61,KALIMANTAN SELATAN
2016,46.11,KALIMANTAN TIMUR
2016,38.5,KALIMANTAN UTARA
2016,37.2,SULAWESI UTARA
2016,22.99,SULAWESI TENGAH
2016,31.37,SULAWESI SELATAN
2016,28.27,SULAWESI TENGGARA
2016,27.3,GORONTALO
2016,20.86,SULAWESI BARAT
2016,27.55,MALUKU
2016,19.21,MALUKU UTARA
2016,26.08,PAPUA BARAT
2016,15.0,PAPUA
2016,31.83,INDONESIA
2015,20.5030545631853,ACEH
2015,22.0904656310805,SUMATERA UTARA
2015,29.0257326654106,SUMATERA BARAT
2015,28.4943865890176,RIAU
2015,24.5086918431534,JAMBI
2015,21.7985775002816,SUMATERA SELATAN
2015,24.2446286915613,BENGKULU
2015,16.2672856778561,LAMPUNG
2015,24.863092346204,KEP. BANGKA BELITUNG
2015,43.4235499990597,KEP. RIAU
2015,53.2521577101737,DKI JAKARTA
2015,29.9794348635107,JAWA BARAT
2015,24.5404164244219,JAWA TENGAH
2015,43.1604184577713,DI YOGYAKARTA
2015,24.6092178064919,JAWA TIMUR
2015,31.4818016644225,BANTEN
2015,34.8089275993491,BALI
2015,18.2608972596053,NUSA TENGGARA BARAT
2015,14.6252247359344,NUSA TENGGARA TIMUR
2015,20.2334260797657,KALIMANTAN BARAT
2015,24.0313877980457,KALIMANTAN TENGAH
2015,27.9231637520239,KALIMANTAN SELATAN
2015,37.4897511534737,KALIMANTAN TIMUR
2015,30.8772906951946,KALIMANTAN UTARA
2015,30.1569266774034,SULAWESI UTARA
2015,20.2442981014468,SULAWESI TENGAH
2015,27.4725341821725,SULAWESI SELATAN
2015,23.0203069505064,SULAWESI TENGGARA
2015,23.0645436954417,GORONTALO
2015,16.595773420395,SULAWESI BARAT
2015,22.1121907250722,MALUKU
2015,15.3681612304831,MALUKU UTARA
2015,22.953005452727,PAPUA BARAT
2015,11.426462787086,PAPUA
2015,27.04,INDONESIA
